id;street_address;street_number;postal_code;city;state_province
1;Secured productize;3491;haptic calculate;Dallasfurt;algorithm Pants
2;multi-byte Soft;33945;green virtual;Garretside;Peso Uruguayo Uruguay Peso en Unidades Indexadas Wisconsin Frozen
3;auxiliary connecting explicit;68626;index bricks-and-clicks Secured;Granthaven;Savings Account Reverse-engineered
4;Directives Rustic Bedfordshire;84003;Outdoors;Brennanville;Steel SCSI
5;Concrete sky blue;66045;SAS Sports Licensed;Tayafort;parsing
6;Mali Orchestrator Plastic;5602;transmitting;Hudsonfort;help-desk
7;Cambridgeshire;52820;Exclusive Incredible Fresh Keyboard;Fredericshire;Beauty Fantastic Plastic Computer
8;Principal Soft;94664;redundant Pataca;Ezekielfurt;synthesize
9;Missouri fuchsia;99648;Cambridgeshire pixel Jewelery;North Kalebview;cross-platform Licensed Granite Shirt Fresh
10;Jewelery connect TCP;54632;Assurance infrastructures;East Billyburgh;Producer bandwidth
